quote_text,param_count
啊哈哈，佐祐理不知道,0
抱歉，我在想hellshake矢野,0
笨蛋是不会感冒的,0
不被发现就不算犯罪哦,0
不得了,0
不是假发，是桂！,0
不是萝莉控，是女权主义者,0
不要不要的,0
不要吃我,0
不要在意细节,0
大葱插菊花治疗感冒,0
观赏用·保存用·布教用,0
画个圈圈诅咒你,0
机智得一逼,0
嫁不出去了,0
今天的风儿好喧嚣啊,0
警察叔叔，就是这个人,0
巨乳只有下垂的未来,0
看，人就像垃圾一样！,0
可爱即正义,0
可喜可贺,0
快看他画风和我们不一样,0
没有那种世俗的欲望,0
喵帕斯,0
木有鱼丸,0
男人变态有什么错,0
你的爱还不够啊,0
你们两个，干脆交往算啦,0
你傻逼！再见！,0
酿了你哦,0
你是想要听真话还是假话,0
女人有四张嘴,0
Qawsedrftgyhujikolp,0
去死两次,0
人傻不能怨社会,0
人生无常，大肠包小肠,0
生气了吗,0
是将军啊啊啊！,0
太妙了,0
甜食是装在另一个胃里的,0
未被穿过的胖次是没有价值的,0
我一定会回来的,0
我考虑了一下还是无法接受啊,0
我是输给了地球的重力,0
现实就是个垃圾游戏,0
呀啦那一卡,0
眼睛，我的眼睛,0
一旦接受了这种设定,0
已经吃不下了,0
有趣的女人,0
有一个好消息和一个坏消息,0
这么可爱一定是男孩子,0
这是禁止事项,0
这在我们业界是一种奖励,0
不要瞎掰好吗,0
毕竟老夫也不是什么恶魔,0
感觉像是喝了很烈的酒一样,0
就这样插进去就行了,0
Niconiconi,0
谁都无法预测的命运之舞台,0
春日影#軼事,0
我明白了,0
求求你了，我什么都会做的,0
我什么都没有,0
又要重复吗，绝望的轮回,0
我的车里有空调,0
我是高中生侦探工藤新一,0
赌上爷爷的名义,0
净TM扯淡,0
计划通,0
谜已经全部解开了,0
其他人做得到吗,0
我要成为新世界的卡密,0
異議あり！,0
凶手就在我们中间,0
这是我爸爸在夏威夷教我的,0
这个游戏，我有必胜法！,0
必胜法,0
真相永远只有一个,0
真相并非永远只有一个,0
不是只有小學生才有處男嗎,0
鼻子发酸，感觉好痛苦,0
超好玩的！你有什么不满吗,0
此乃谎言！,0
但是，是男的,0
EMT,0
风太大我听不见,0
哥哥借我词典,0
哥哥让开这样我杀不了那家伙,0
还有马桶盖子,0
就算不结婚有妹妹不就好了吗,0
就这么愉快地决定了,0
